Codi,Institució,Latitude,Longitude,Web,Ciutat,País,Continent o Zona (CALCULAT),Estudis Mobilitat,"Mobilitat 
estudiants","Mobilitat 
docent","Col. acadèmica 
o institucional","Estudis 
conjunts",Xarxes,Factsheet,Curs d'actualització Factsheet,Estudis insti,Video promocional,,,,,,,,,,,,,,,
D MAINZ01,"Johannes-Gutenberg-Universität Mainz
",49.9926403,8.2415552,"http://www.uni-mainz.de/eng/
",Mainz,Alemanya,Europa,Traducció i Interpretació,TRUE,FALSE,FALSE,FALSE,,https://www.upf.edu/documents/105229234/121071315/Johannes-Gutenberg-Universit%C3%A4t+Mainz.pdf/f03aec3f-f269-f5c0-9980-1b8bf56d8e50?t=1680249673747,2025-26,Traducció i Interpretació,,,,,,,,,,,,,,,,
D WURZBUR01,Julius-Maximilians-Universität Würzburg,49.7881814,9.93526,http://www.uni-wuerzburg.de,Würzburg,Alemanya,Europa,"Ciències Econòmiques i Empresarials
",TRUE,FALSE,FALSE,FALSE,,https://www.upf.edu/documents/105229234/121071315/Julius-Maximilians-Universit%C3%A4t+W%C3%BCrzburg.pdf/dc553b28-2a0f-066f-4f45-269af3e54213?t=1680767945268,2026-27,Ciències Econòmiques i Empresarials,,,,,,,,,,,,,,,,
D KARLSRU08,Karlshochschule International University,49.0065504,8.3944408,http://karlshochschule.de/en/,Karlsruhe,Alemanya,Europa,Publicitat i Relacions Públiques,TRUE,FALSE,FALSE,FALSE,,https://www.upf.edu/documents/105229234/121071315/Karlshochschule.pdf/24b6bf35-9f5d-e6f1-723e-d377d1ea55d2?t=1680249297652,2025-26,Publicitat i Relacions Públiques,, 25.02.2025Enviat mail per reclamar faacsheet,,,,,,,,,,,,,,
D MUNCHEN01,Ludwig-Maximilians-Universität München,48.1504827,11.5802362,http://www.lmu.de/international,München,Alemanya,Europa,"Ciències Econòmiques i Empresarials
",TRUE,FALSE,FALSE,FALSE,,https://www.upf.edu/documents/105229234/121071315/Ludwig-Maximilians-Universit%C3%A4t+M%C3%BCnchen.pdf/2313a4a5-3f56-5c90-0888-12c8ccafbb33?t=1680603887381,2026-27,Ciències Econòmiques i Empresarials,,,,,,,,,,,,,,,,
,Max Planck Institute for the History of Science,52.4453971,13.2775799,http://www.mpiwg-berlin.mpg.de/en/index.html,Berlin,Alemanya,Europa,,FALSE,FALSE,TRUE,FALSE,,,2018-19,Humanitats,,,,,,,,,,,,,,,,
D MUNCHEN12,Munich Business School,48.1360303,11.5244384,http://www.munich-business-school.de/,München,Alemanya,Europa,"Ciències Econòmiques i Empresarials
",TRUE,FALSE,FALSE,FALSE,,https://www.upf.edu/documents/105229234/121071315/Munich+Business+School.pdf/c7459f5b-865d-523b-1aab-03c56861a66b?t=1680260981945,2026-27,Ciències Econòmiques i Empresarials,,,,,,,,,,,,,,,,
D MAGDEBU01,Otto-Von-Guericke-Universität Magdeburg,52.1398351,11.6460902,http://www.ovgu.de/,Magdeburg,Alemanya,Europa,"Enginyeria Informàtica
",FALSE,FALSE,FALSE,FALSE,,https://www.upf.edu/documents/105229234/121071315/Otto-Von-Guericke-Universit%C3%A4t+Magdeburg.pdf/0c5208b4-35bc-857f-45ae-7f3883e823e2,2020-21,"Enginyeria Informàtica
",,,,,,,,,,,,,,,,
D  BONN01,Rheinische Friedrich-Wilhelms- Universität Bonn,50.7267715,7.0865227,http://www.uni-bonn.de/,Bonn,Alemanya,Europa,"Traducció i Interpretació
",TRUE,FALSE,FALSE,FALSE,Associación Europaeum,https://www.upf.edu/documents/d/estudiarfora/erasmus_fact_sheet_university_of_bonn_ka131,2026-27,Traducció i Interpretació,,,,,,,,,,,,,,,,
D BONN01,Rheinische Friedrich-Wilhelms- Universität Bonn,50.7267715,7.0865227,http://www.uni-bonn.de/,Bonn,Alemanya,Europa,Dret; Dret-Eco/Ade; Relacions Laborals,TRUE,FALSE,FALSE,FALSE,Associación Europaeum,https://www.upf.edu/documents/d/estudiarfora/erasmus_fact_sheet_university_of_bonn_ka131,2026-27,Dret; Dret-Eco/Ade; Relacions Laborals,,,,,,,,,,,,,,,,
D BOCHUM01,Ruhr-Universität Bochum,51.4456659,7.2616093,http://www.rub.de,Bochum,Alemanya,Europa,"Traducció i Interpretació
",TRUE,FALSE,FALSE,FALSE,,https://www.upf.edu/documents/105229234/121071315/Ruhr-Universit%C3%A4t+Bochum.pdf/3279af28-f7cd-8fa0-a969-db029bc21c5a?t=1713427491216,2026-27,Traducció i Interpretació,,,,,,,,,,,,,,,,
D HEIDELB01,Ruprecht-Karls-Universität Heidelberg,49.4191402,8.6702492,http://www.uni-heidelberg.de/index_e.html,Heidelberg,Alemanya,Europa,Biologia; Traducció i Interpretació,TRUE,FALSE,FALSE,FALSE,,https://www.upf.edu/documents/105229234/121071315/Ruprecht-Karls-Universit%C3%A4t+Heidelberg.pdf/96ad5ed9-1f48-c925-dde6-1b945f89664d?t=1683541882092,2026-27,Biologia; Traducció i Interpretació,,,,,,,,,,,,,,,,
D STUTTGA06,Hochschule der Medien,48.7420025,9.1007593,http://www.hdm-stuttgart.de/english,Stuttgart,Alemanya,Europa,Publicitat i Relacions Públiques; Comunicació Audiovisual,TRUE,FALSE,FALSE,FALSE,,https://www.upf.edu/documents/105229234/121071315/Stuttgart+Media+University.pdf/ba69c40c-2e0a-2a4f-b97b-10dbbe390ec7?t=1681206016505,2025-26,Publicitat i Relacions Públiques,,,,,,,,,,,,,,,,
